LAT,LON,RTE_DEFN_LN_NM,RTE_DFO,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT,CTRL_SECT_LN_NBR,CTRL_SECT_MPT
30.6336,-97.667273,SH0029-KG,134.046,554,1.523,33702,22.441
30.632982,-97.668637,SH0029-KG,133.964,554,1.441,33702,22.359
30.633572,-97.673429,SH0029-KG,133.68,554,1.157,,
30.633528,-97.669047,SH0029-KG,133.941,554,1.418,33702,22.336
30.632978,-97.66822,SH0029-KG,133.989,554,1.466,,
30.633538,-97.670091,SH0029-KG,133.878,554,1.355,,
30.633109,-97.663419,SH0029-KG,134.271,554,1.748,33702,22.666
30.632902,-97.678446,SH0029-KG,133.381,554,0.858,33701,12.033
30.633585,-97.674681,SH0029-KG,133.606,554,1.083,,
32.347047,-95.298157,SH0031-KG,120.58,698,1.437,,
32.331632,-96.620308,SH0034-KG,109.686,350,1.221,17301,11.295
33.139351,-96.106384,SH0034-KG,39.323,278,1.862,,
32.426717,-96.462845,SH0034-KG,98.16,338,0.543,17302,11.701
33.139351,-96.106384,SH0034-LG,39.296,,,,
31.70376,-98.123375,SH0036-KG,114.723,408,1.903,18303,9.901
29.95105,-96.258099,SH0036-KG,292.952,592,1.615,,
32.121385,-99.172075,SH0036-KG,42.374,336,0.419,,
32.761672,-94.352892,SH0049-KG,50.358,742,0.168,22205,15.142
29.310698,-96.098594,SH0060-KG,23.959,506,1.412,,
29.309963,-96.097997,SH0060-KG,24.006,506,1.459,24101,1.334
29.309779,-96.097796,SH0060-KG,24.021,506,1.474,24101,1.349
29.315678,-96.101128,SH0060-KG,23.303,506,0.756,8910,38.013
29.31598,-96.100914,SH0060-KG,23.279,506,0.732,8910,37.989
29.31081,-96.103736,SH0060-KG,23.673,506,1.126,,
29.315452,-96.101536,SH0060-KG,23.33,506,0.783,,
29.32618,-96.097126,SH0060-KG,22.542,504,1.987,8910,37.252
28.984791,-95.970258,SH0060-KG,48.625,532,0.551,24102,11.532
29.310698,-96.098594,SH0060-LG,23.911,,,,
29.309963,-96.097997,SH0060-LG,23.958,,,,
29.309963,-96.097997,SH0060-RG,24.044,,,,
29.309779,-96.097796,SH0060-RG,24.036,,,,
29.31081,-96.103736,SH0060-RG,23.671,,,,
29.770857,-94.684679,SH0061-KG,21.215,470,1.202,,
31.064117,-93.523416,SH0063-KG,63.852,799,0.001,21403,10.275
31.063949,-93.520375,SH0063-KG,64.031,799,0.18,21403,10.454
32.930878,-96.458325,SH0066-KG,10.417,606,1.51,,
32.930878,-96.458325,SH0066-LG,10.422,,,,
32.930878,-96.458325,SH0066-RG,10.413,606,1.52,,
28.980649,-97.503959,SH0072-KG,97.377,572,1.357,27001,0.359
33.753017,-96.196113,SH0078-KG,0.019,,,27902,0.219
34.13299,-98.090953,SH0079-KG,0,,,28201,0
34.131421,-98.098236,SH0079-KG,0.429,,,28201,0.429
29.883289,-97.94131,SH0080-KG,0.009,,,28601,5.009
29.883272,-97.936951,SH0080-KG,0.268,,,28601,5.268
29.883464,-97.940584,SH0080-KG,0.055,,,,
32.012273,-97.129923,SH0081-KG,19.952,338,1.07,1406,17.051
32.010479,-97.130594,SH0081-KG,20.074,338,1.192,,
32.010474,-97.130277,SH0081-KG,20.075,338,1.193,1407,17.229
32.009933,-97.130288,SH0081-KG,20.113,338,1.231,,
32.014253,-97.129671,SH0081-KG,19.815,338,0.933,1406,16.914
29.3016,-94.785501,SH0087-KG,257.335,580,0.69,5104,3.782
29.30006,-94.79268,SH0087-KG,257.779,580,1.134,5104,4.226
29.29473,-94.813174,SH0087-KG,259.068,582,0.686,5104,5.515
29.299956,-94.793708,SH0087-KG,257.841,580,1.196,5104,4.288
29.299496,-94.794317,SH0087-KG,257.885,580,1.24,,
29.300381,-94.788877,SH0087-LG,257.556,580,0.909,,
29.3016,-94.785501,SH0087-LG,257.337,580,0.69,,
29.30006,-94.79268,SH0087-LG,257.781,580,1.134,,
29.29473,-94.813174,SH0087-LG,259.07,582,0.686,,
29.299496,-94.794317,SH0087-LG,257.887,580,1.24,,
29.3016,-94.785501,SH0087-RG,257.334,580,0.69,,
29.30006,-94.79268,SH0087-RG,257.779,580,1.135,,
29.29473,-94.813174,SH0087-RG,259.068,582,0.686,,
29.299956,-94.793708,SH0087-RG,257.84,580,1.196,,
29.299471,-94.79617,SH0087-RG,257.992,580,1.348,,
29.299496,-94.794317,SH0087-RG,257.885,580,1.241,,
30.409378,-96.050166,SH0090-KG,40.371,430,1.295,31504,33.13
31.339661,-94.735008,SH0094-KG,51.695,742,1.759,31904,10.755
31.05595,-95.126121,SH0094-KG,19.253,,,31902,0.11
30.568722,-97.409472,SH0095-KG,35.688,422,0.459,32101,1.134
30.570353,-97.410071,SH0095-KG,35.573,422,0.344,,
30.167627,-96.396403,SH0105-KG,0,,,,
30.167569,-96.393498,SH0105-KG,0.157,,,31507,13.246
30.167627,-96.396403,SH0105-LG,0,,,,
30.167569,-96.393498,SH0105-RG,0.157,,,,
26.215301,-98.326006,SH0107-KG,1.011,504,0.886,,
32.22012,-98.202293,SH0108-KG,34.41,522,1.29,,
35.829274,-101.442847,SH0136-KG,50.628,62,0.057,35506,18.533
31.922929,-97.656968,SH0144-KG,39.9,332,1.498,,
31.923267,-97.657387,SH0144-KG,39.892,332,1.49,,
32.235007,-97.755759,SH0144-KG,16.289,308,1.081,,
33.138433,-95.600656,SH0154-KG,20.922,668,1.03,,
30.265248,-97.726428,SH0165-KG,0.411,,,41401,0.411
32.01289,-97.135097,SH0171-KG,68.072,338,1.159,,
32.348545,-97.386545,SH0171-KG,39.242,308,1.338,1901,25.639
32.759038,-97.797361,SH0171-KG,0,,,,
32.347187,-97.386144,SH0171-KG,39.337,308,1.433,1901,25.735
32.348153,-97.386244,SH0171-KG,39.272,308,1.368,1901,25.67
32.348545,-97.386545,SH0171-LG,39.259,,,,
32.347187,-97.386144,SH0171-LG,39.356,,,,
32.348153,-97.386244,SH0171-LG,39.29,,,,
31.342445,-93.849156,SH0184-KG,11.012,766,1.011,43101,11.011
32.744318,-97.33804,SH0199-KG,53.288,566,5.267,17105,16.626
35.209374,-101.382834,SH0207-KG,102.263,114,1.584,35603,34.327
30.018336,-96.731703,SH0237-KG,11.605,456,1.195,26701,10.245
31.065629,-97.460481,SH0317-KG,43.225,388,1.336,39804,15.343
31.05763,-97.46302,SH0317-KG,43.795,388,1.906,1505,20.3
31.056012,-97.46357,SH0317-KG,43.91,388,2.021,1505,20.416
31.059073,-97.462997,SH0317-KG,43.7,388,1.811,1505,20.205
31.066073,-97.45995,SH0317-KG,43.186,388,1.297,39804,15.305
31.052608,-97.465616,SH0317-KG,44.17,390,0.23,1505,20.676
31.059431,-97.462782,SH0317-KG,43.673,388,1.784,1505,20.178
29.054328,-95.557113,SH0332-KG,0.96,672,0.922,84703,0.96
29.054328,-95.557113,SH0332-LG,0.96,,,,
29.054328,-95.557113,SH0332-RG,0.962,,,,
31.356099,-94.746873,SL0036-KG,0.961,358,0.932,19907,0.961
29.884012,-97.941406,SL0082-KG,2.034,466,0.043,,
29.885808,-97.940352,SL0082-KG,1.91,464,1.852,,
29.883289,-97.94131,SL0082-KG,2.083,466,0.092,,
29.882562,-97.940655,SL0082-KG,2.137,466,0.146,36601,2.225
29.883464,-97.940584,SL0082-KG,2.076,466,0.085,1609,2.096
29.885808,-97.940352,SL0082-LG,1.922,,,,
29.882017,-97.940185,SL0082-LG,2.159,466,0.187,,
29.883464,-97.940584,SL0082-LG,2.058,466,0.086,,
29.884012,-97.941406,SL0082-RG,2.093,466,0.04,,
29.885808,-97.940352,SL0082-RG,1.922,,,,
29.883289,-97.94131,SL0082-RG,2.143,466,0.09,,
30.533609,-96.691157,SL0083-KG,0.41,598,0.386,,
30.277271,-97.701115,SL0111-KG,0.402,438,0.349,,
31.764785,-95.626068,SL0127-KG,0.377,658,0.35,20513,0.607
31.762737,-95.629176,SL0127-KG,0.154,658,0.127,20513,0.384
31.764227,-95.626896,SL0127-KG,0.323,658,0.296,20513,0.553
30.110546,-97.316196,SL0150-KG,0.928,560,0.884,26510,0.928
30.110704,-97.317601,SL0150-KG,0.844,560,0.8,,
30.110684,-97.317474,SL0150-KG,0.852,560,0.808,,
30.110657,-97.316128,SL0150-KG,0.932,560,0.888,26510,0.932
30.110656,-97.316174,SL0150-KG,0.93,560,0.886,26510,0.93
30.110656,-97.316221,SL0150-KG,0.927,560,0.883,,
30.110686,-97.315004,SL0150-KG,1,560,0.956,,
28.522022,-99.860027,SL0225-KG,0.334,,,,
31.894675,-100.488565,SL0229-KG,1.11,370,1.065,40603,1.11
35.211186,-101.865185,SL0279-KG,2.294,290,0.112,9005,19.294
35.207453,-101.838344,SL0279-KG,3.834,290,1.652,,
30.888529,-97.924779,SL0308-KG,0.402,524,0.338,27305,1.402
30.265536,-97.756362,SL0343-KG,3.729,566,1.348,11312,1.342
30.265,-97.756992,SL0343-KG,3.682,566,1.301,11312,1.295
30.710466,-101.200734,SL0466-KG,0.818,326,0.818,,
30.484894,-99.760198,SL0481-CN,0.042,,,,
30.487947,-99.762723,SL0481-KG,0.586,416,0.551,14216,1.856
30.484894,-99.760198,SL0481-KG,0.845,416,0.81,14216,2.115
30.852645,-93.753545,SL0505-KG,1.372,388,1.349,,
