RTE_DEFN_LN_NM,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT
BU0287R-KG,584,1.128
FM0878-KG,584,0.738
FM0878-KG,584,0.383
FM0878-KG,584,0.323
FM0878-KG,584,1.149
FM0878-KG,584,1.094
FM0878-KG,584,0.896
FM0878-KG,584,1.073
FM0878-KG,584,0.261
US0087-KG,584,1.778
BU0287R-KG,586,0.697
BU0287R-KG,586,0.269
FM0340-KG,586,0.898
FM0813-KG,586,0.021
FM0813-KG,586,0.138
SH0036-KG,592,1.615
IH0010-LG,594,0.187
IH0010-XG,594,0.186
FM0066-KG,598,0.274
FM0066-KG,598,0.268
FM0066-KG,598,0.349
FM1183-KG,598,0.39
FM1722-KG,598,1.317
FM1722-KG,598,1.283
FM1722-KG,598,1.417
FM1722-KG,598,1.491
FM1722-KG,598,1.357
FM1722-KG,598,1.653
SL0083-KG,598,0.386
FM0455-KG,602,1.289
FM0120-KG,604,0.96
FM0120-KG,604,1.562
SS0125-KG,604,0.183
SS0125-KG,604,0.216
SH0066-KG,606,1.51
SH0066-RG,606,1.52
FM0158-KG,614,0.726
FM0158-KG,614,0.929
FM0158-KG,616,0.064
BS0031D-KG,622,1.373
SH0022-KG,626,0.268
SS0302-KG,628,1.825
FM0912-KG,630,0.822
BI0035A-KG,634,0.192
BI0035A-KG,634,0.14
BI0035A-LG,634,0.14
BS0071E-KG,636,1.439
BS0071E-KG,636,1.016
BS0071E-KG,636,0.733
BU0059T-KG,638,0.271
BU0059T-KG,638,0.335
US0183-KG,642,0.358
FM1509-KG,644,1.777
FM1510-KG,646,1.294
FM2795-KG,646,1.642
US0084-KG,646,0.026
US0277-KG,650,1.05
BU0067V-KG,656,1.179
SL0127-KG,658,0.35
SL0127-KG,658,0.127
SL0127-KG,658,0.296
US0087-KG,658,0.894
BS0035L-KG,664,0.013
BS0035L-LG,664,0.01
BS0035L-RG,664,0.015
BU0083N-KG,666,0.551
SH0154-KG,668,1.03
SH0332-KG,672,0.922
SS0147-KG,674,1.257
FM0346-KG,676,1.547
US0080-KG,686,1.027
US0090-KG,692,0.754
SH0031-KG,698,1.437
BU0281T-KG,710,0.45
SS0339-KG,712,0.439
FM0325-KG,714,0.015
SS0339-KG,714,0.154
FM0088-KG,726,1.761
FM0125-KG,728,1.476
US0090-KG,734,0.706
SH0049-KG,742,0.168
SH0094-KG,742,1.759
BU0077Z-KG,744,0.972
US0083-KG,750,1.695
SH0011-KG,758,1.189
US0090-KG,758,0.611
SH0184-KG,766,1.011
IH0010-KG,769,0.292
IH0010-LG,769,0.28
IH0010-RG,769,0.301
US0087-KG,778,1.031
BS0021P-KG,780,0.815
US0087-KG,780,2.011
US0087-KG,780,1.577
US0087-KG,782,0.135
US0087-KG,782,0.163
US0087-KG,782,0.218
US0190-KG,786,0.823
SH0063-KG,799,0.001
SH0063-KG,799,0.18
US0080-KG,806,0.222
SH0021-KG,816,2.059
SH0021-KG,816,1.709
US0083-KG,820,1.938
US0190-KG,866,1.604
US0090-KG,876,0.146
