RTE_DEFN_LN_NM,RTE_DFO
US0281-KG,55.914
SH0019-KG,58.549
US0054-KG,60.9
SH0063-KG,63.852
SH0063-KG,64.031
SH0006-KG,64.655
SH0171-KG,68.072
SH0022-KG,70.217
SH0022-KG,70.255
SH0022-KG,70.273
US0077-RG,70.662
US0077-KG,70.674
US0377-KG,71.29
FM0455-KG,73.761
FM0051-KG,75.53
US0183-KG,75.741
US0079-KG,86.392
SH0017-KG,94.158
US0377-KG,96.516
US0377-LG,96.517
SH0072-KG,97.377
SH0034-KG,98.16
US0281-KG,98.8
SH0207-KG,102.263
SH0006-KG,106.445
SH0006-LG,106.626
SH0006-KG,106.635
SH0006-RG,106.68
SH0006-KG,106.796
SH0034-KG,109.686
SH0022-KG,111.382
US0283-KG,113.81
SH0036-KG,114.723
SH0031-KG,120.58
US0083-KG,122.28
US0083-RG,122.29
US0083-LG,122.291
SH0029-KG,133.381
SH0029-KG,133.606
SH0029-KG,133.68
SH0029-KG,133.878
SH0029-KG,133.941
SH0029-KG,133.964
SH0029-KG,133.989
SH0029-KG,134.046
SH0029-KG,134.271
US0069-LG,134.402
US0069-KG,134.405
US0069-RG,134.408
US0080-KG,139.375
SH0019-RG,144.809
SH0019-KG,144.816
SH0019-LG,144.825
US0082-KG,149.333
SH0011-KG,154.962
US0069-KG,162.33
US0059-LG,173.62
US0059-RG,173.626
US0059-KG,173.628
SH0006-KG,176.694
US0190-KG,176.743
US0190-RG,176.766
US0190-LG,176.77
IH0035-LG,217.26
IH0035-KG,217.266
IH0035-XG,217.274
IH0035-RG,217.283
US0183-KG,219.467
US0190-KG,228.005
IH0035-LG,234.849
IH0035-KG,234.854
IH0035-RG,234.87
IH0035-AG,234.969
US0380-KG,238.759
US0380-KG,238.83
US0062-KG,255.715
US0062-LG,255.716
US0062-RG,255.716
SH0087-RG,257.334
SH0087-KG,257.335
SH0087-LG,257.337
SH0087-LG,257.556
SH0087-KG,257.779
SH0087-RG,257.779
SH0087-LG,257.781
SH0087-RG,257.84
SH0087-KG,257.841
SH0087-KG,257.885
SH0087-RG,257.885
SH0087-LG,257.887
SH0087-RG,257.992
US0077-KG,258.533
SH0087-KG,259.068
SH0087-RG,259.068
SH0087-LG,259.07
US0079-KG,272.418
US0281-KG,284.849
SH0021-KG,286.136
SH0021-KG,286.486
US0083-KG,288.236
US0083-LG,288.265
US0083-RG,288.284
SH0036-KG,292.952
US0180-KG,294.403
US0180-LG,294.405
US0180-RG,294.409
US0082-KG,313.255
SH0016-KG,318.265
TL0183-RG,327.324
US0183-AG,327.335
US0385-KG,346.915
SH0016-RG,347.282
SH0016-KG,347.291
SH0016-LG,347.292
US0090-KG,365.983
US0090-RG,365.99
US0083-KG,384.07
US0084-KG,393.198
US0087-KG,440.759
US0087-KG,440.865
US0087-LG,440.992
US0087-KG,441.207
US0183-KG,448.162
US0277-KG,490.565
US0190-KG,500.054
US0090-KG,514.371
US0090-LG,514.372
US0090-RG,514.372
US0087-KG,517.394
US0087-RG,555.724
US0087-KG,555.728
US0087-LG,555.735
US0090-KG,557.362
US0083-KG,557.571
US0190-KG,575.345
US0090-KG,580.052
IH0010-LG,594.367
IH0010-XG,594.409
US0087-KG,620.89
US0090-KG,692.554
US0083-KG,722.108
US0087-KG,737.438
US0087-KG,739.983
US0087-KG,740.417
US0087-KG,740.556
US0087-KG,740.584
US0087-KG,740.639
IH0010-RG,769.52
IH0010-KG,769.539
IH0010-XG,769.54
IH0010-LG,769.569
US0083-LG,791.547
US0083-LG,791.591
US0083-RG,791.94
US0083-RG,792.015
US0083-KG,792.043
